Title,Description,Date,Front Page
New PetitPotam NTLM Relay Attack Lets Hackers Take Over Windows Domains,https://thehackernews.com/2021/07/new-petitpotam-ntlm-relay-attack-lets.html,"July 26, 2021",
"Nasty macOS Malware XCSSET Now Targets Google Chrome, Telegram Software",https://thehackernews.com/2021/07/nasty-macos-malware-xcsset-now-targets.html,"July 23, 2021",
"Wake up! Identify API Vulnerabilities Proactively, From Production Back to Code",https://thehackernews.com/2021/07/wake-up-identify-api-vulnerabilities.html,"July 23, 2021",
"Dutch Police Arrest Two Hackers Tied to ""Fraud Family"" Cybercrime Ring",https://thehackernews.com/2021/07/dutch-police-arrest-two-hackers-tied-to.html,"July 23, 2021",
Kaseya Gets Universal Decryptor to Help REvil Ransomware Victims,https://thehackernews.com/2021/07/kaseya-gets-universal-decryptor-to-help.html,"July 22, 2021",
APT Hackers Distributed Android Trojan via Syrian e-Government Portal,https://thehackernews.com/2021/07/apt-hackers-distributed-android-trojan.html,"July 22, 2021",
Reduce End-User Password Change Frustrations,https://thehackernews.com/2021/07/reduce-end-user-password-change.html,"July 22, 2021",
Title,Description,Date,Data Breach
Chinese Hackers Believed to be Behind Second Cyberattack on Air India,https://thehackernews.com/2021/06/chinese-hackers-believed-to-be-behind.html,"June 13, 2021",
Using Breached Password Detection Services to Prevent Cyberattack,https://thehackernews.com/2021/06/using-breached-password-detection.html,"June 10, 2021",
Can Data Protection Systems Prevent Data At Rest Leakage?,https://thehackernews.com/2021/05/can-data-protection-systems-prevent.html,"May 13, 2021",
Passwordstate Warns of Ongoing Phishing Attacks Following Data Breach,https://thehackernews.com/2021/04/passwordstate-warns-of-ongoing-phishing.html,"April 30, 2021",
3.2 Billion Leaked Passwords Contain 1.5 Million Records with Government Emails,https://thehackernews.com/2021/04/32-billion-leaked-passwords-contain-15.html,"April 26, 2021",
Indian Brokerage Firm Upstox Suffers Data Breach Leaking 2.5 Millions Users' Data,https://thehackernews.com/2021/04/indian-brokerage-firm-upstox-suffers.html,"April 12, 2021",
PHP Site's User Database Was Hacked In Recent Source Code Backdoor Attack,https://thehackernews.com/2021/04/php-sites-user-database-was-hacked-in.html,"April 07, 2021",
533 Million Facebook Users' Phone Numbers and Personal Data Leaked Online,https://thehackernews.com/2021/04/533-million-facebook-users-phone.html,"April 04, 2021",
New Zoom Screen-Sharing Bug Lets Other Users Access Restricted Apps,https://thehackernews.com/2021/03/new-zoom-screen-sharing-bug-lets-other.html,"March 18, 2021",
Data Breach Exposes 1.6 Million Jobless Claims Filed in the Washington State,https://thehackernews.com/2021/02/data-breach-exposes-16-million-jobless.html,"February 02, 2021",
Police Arrest 21 WeLeakInfo Customers Who Bought Breached Personal Data,https://thehackernews.com/2020/12/police-arrest-21-weleakinfo-customers.html,"December 25, 2020",
Microsoft Says Its Systems Were Also Breached in Massive SolarWinds Hack,https://thehackernews.com/2020/12/microsoft-says-its-systems-were-also.html,"December 17, 2020",
US Agencies and FireEye Were Hacked Using SolarWinds Software Backdoor,https://thehackernews.com/2020/12/us-agencies-and-fireeye-were-hacked.html,"December 13, 2020",
Cybersecurity Firm FireEye Got Hacked; Red-Team Pentest Tools Stolen,https://thehackernews.com/2020/12/cybersecurity-firm-fireeye-got-hacked.html,"December 09, 2020",
Beware: New Android Spyware Found Posing as Telegram and Threema Apps,https://thehackernews.com/2020/10/android-mobile-hacking.html,"October 01, 2020",
"Russian Who Hacked LinkedIn, Dropbox Sentenced to 7 Years in Prison",https://thehackernews.com/2020/10/russian-linkedin-hacker.html,"October 01, 2020",
Experian South Africa Suffers Data Breach Affecting Millions; Attacker Identified,https://thehackernews.com/2020/08/experian-data-breach-attack.html,"August 20, 2020",
OkCupid Dating App Flaws Could've Let Hackers Read Your Private Messages,https://thehackernews.com/2020/07/hacking-okcupid-account.html,"July 29, 2020",
Title,Description,Date,CyberAttacks
APT Hackers Distributed Android Trojan via Syrian e-Government Portal,https://thehackernews.com/2021/07/apt-hackers-distributed-android-trojan.html,"July 22, 2021",
US and Global Allies Accuse China of Massive Microsoft Exchange Attack,https://thehackernews.com/2021/07/us-and-global-allies-accuse-china-of.html,"July 19, 2021",
China's Cyberspies Targeting Southeast Asian Government Entities,https://thehackernews.com/2021/07/chinas-cyberspies-targeting-southeast.html,"July 15, 2021",
"Google Details iOS, Chrome, IE Zero-Day Flaws Exploited Recently in the Wild",https://thehackernews.com/2021/07/google-details-ios-chrome-ie-zero-day.html,"July 15, 2021",
REvil Ransomware Gang Mysteriously Disappears After High-Profile Attacks,https://thehackernews.com/2021/07/revil-ransomware-gang-mysteriously.html,"July 14, 2021",
Chinese Hackers Exploited Latest SolarWinds 0-Day in Targeted Attacks,https://thehackernews.com/2021/07/chinese-hackers-exploit-latest.html,"July 13, 2021",
A New Critical SolarWinds Zero-Day Vulnerability Under Active Attack,https://thehackernews.com/2021/07/a-new-critical-solarwinds-zero-day.html,"July 12, 2021",
Kaseya Releases Patches for Flaws Exploited in Widespread Ransomware Attack,https://thehackernews.com/2021/07/kaseya-releases-patches-for-flaws.html,"July 11, 2021",
Experts Uncover Malware Attacks Targeting Corporate Networks in Latin America,https://thehackernews.com/2021/07/experts-uncover-malware-attacks.html,"July 08, 2021",
WildPressure APT Emerges With New Malware Targeting Windows and macOS,https://thehackernews.com/2021/07/wildpressure-apt-emerges-with-new.html,"July 07, 2021",
"NSA, FBI Reveal Hacking Methods Used by Russian Military Hackers",https://thehackernews.com/2021/07/nsa-fbi-reveal-hacking-methods-used-by.html,"July 01, 2021",
[Webinar] How Cyber Attack Groups Are Spinning a Larger Ransomware Web,https://thehackernews.com/2021/06/webinar-how-cyber-attack-groups-are.html,"June 30, 2021",
SolarWinds Hackers Breach Microsoft Customer Support to Target its Customers,https://thehackernews.com/2021/06/solarwinds-hackers-breach-microsoft.html,"June 27, 2021",
Watch Out! Zyxel Firewalls and VPNs Under Active Cyberattack,https://thehackernews.com/2021/06/watch-out-zyxel-firewalls-and-vpns.html,"June 25, 2021",
Pakistan-linked hackers targeted Indian power company with ReverseRat,https://thehackernews.com/2021/06/pakistan-linked-hackers-targeted-indian.html,"June 23, 2021",
Wormable DarkRadiation Ransomware Targets Linux and Docker Instances,https://thehackernews.com/2021/06/wormable-darkradiation-ransomware.html,"June 22, 2021",
North Korea Exploited VPN Flaw to Hack South's Nuclear Research Institute,https://thehackernews.com/2021/06/north-korea-exploited-vpn-flaw-to-hack.html,"June 18, 2021",
Cyber espionage by Chinese hackers in neighbouring nations is on the rise,https://thehackernews.com/2021/06/cyber-espionage-by-chinese-hackers-in.html,"June 18, 2021",
A New Spyware is Targeting Telegram and Psiphon VPN Users in Iran,https://thehackernews.com/2021/06/a-new-spyware-is-targeting-telegram-and.html,"June 17, 2021",
Title,Description,Date,Vulnerability
New Windows and Linux Flaws Give Attackers Highest System Privileges,https://thehackernews.com/2021/07/new-windows-and-linux-flaws-give.html,"July 20, 2021",
"16-Year-Old Security Bug Affects Millions of HP, Samsung, Xerox Printers",https://thehackernews.com/2021/07/16-year-old-security-bug-affects.html,"July 20, 2021",
Researcher Uncovers Yet Another Unpatched Windows Printer Spooler Vulnerability,https://thehackernews.com/2021/07/researcher-uncover-yet-another.html,"July 18, 2021",
China's New Law Requires Vendors to Report Zero-Day Bugs to Government,https://thehackernews.com/2021/07/chinas-new-law-requires-researchers-to.html,"July 17, 2021",
"Israeli Firm Helped Governments Target Journalists, Activists with 0-Days and Spyware",https://thehackernews.com/2021/07/israeli-firm-helped-governments-target.html,"July 16, 2021",
Update Your Chrome Browser to Patch New ZeroDay Bug Exploited in the Wild,https://thehackernews.com/2021/07/update-your-chrome-browser-to-patch-new.html,"July 15, 2021",
Microsoft Warns of New Unpatched Windows Print Spooler Vulnerability,https://thehackernews.com/2021/07/microsoft-warns-of-new-unpatched.html,"July 15, 2021",
"Google Details iOS, Chrome, IE Zero-Day Flaws Exploited Recently in the Wild",https://thehackernews.com/2021/07/google-details-ios-chrome-ie-zero-day.html,"July 15, 2021",
"Update Your Windows PCs to Patch 117 New Flaws, Including 9 Zero-Days",https://thehackernews.com/2021/07/update-your-windows-pcs-to-patch-117.html,"July 13, 2021",
Critical RCE Flaw in ForgeRock Access Manager Under Active Attack,https://thehackernews.com/2021/07/critical-rce-flaw-in-forgerock-access.html,"July 12, 2021",
A New Critical SolarWinds Zero-Day Vulnerability Under Active Attack,https://thehackernews.com/2021/07/a-new-critical-solarwinds-zero-day.html,"July 12, 2021",
Critical Flaws Reported in Philips Vue PACS Medical Imaging Systems,https://thehackernews.com/2021/07/critical-flaws-reported-in-philips-vue.html,"July 09, 2021",
Critical Flaws Reported in Sage X3 Enterprise Management Software,https://thehackernews.com/2021/07/critical-flaws-reported-in-sage-x3.html,"July 08, 2021",
How to Mitigate Microsoft Print Spooler Vulnerability  PrintNightmare,https://thehackernews.com/2021/07/how-to-mitigate-microsoft-print-spooler.html,"July 08, 2021",
Microsoft's Emergency Patch Fails to Fully Fix PrintNightmare RCE Vulnerability,https://thehackernews.com/2021/07/microsofts-emergency-patch-fails-to.html,"July 07, 2021",
Microsoft Issues Emergency Patch for Critical Windows PrintNightmare Vulnerability,https://thehackernews.com/2021/07/microsoft-issues-emergency-patch-for.html,"July 06, 2021",
"Microsoft Warns of Critical ""PrintNightmare"" Flaw Being Exploited in the Wild",https://thehackernews.com/2021/07/microsoft-warns-of-critical.html,"July 01, 2021",
Researchers Leak PoC Exploit for a Critical Windows RCE Vulnerability,https://thehackernews.com/2021/06/researchers-leak-poc-exploit-for.html,"June 30, 2021",
Microsoft Edge Bug Could've Let Hackers Steal Your Secrets for Any Site,https://thehackernews.com/2021/06/microsoft-edge-bug-couldve-let-hackers.html,"June 28, 2021",
Critical Auth Bypass Bug Affects VMware Carbon Black App Control,https://thehackernews.com/2021/06/critical-auth-bypass-bug-affects-vmware.html,"June 24, 2021",
